Framework Number,Control Number,Safeguard Number,Asset Type Name,Security Function Name,Safeguard Name,Description,Implementation Group Number
CIS,1,1,Devices,Identify,Establish and Maintain Detailed Enterprise Asset Inventory,"Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise's network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently.",IG1
CIS,1,2,Devices,Respond,Address Unauthorized Assets,"Ensure that a process exists to address unauthorized assets on a weekly basis. The enterprise may choose to remove the asset from the network, deny the asset from connecting remotely to the network, or quarantine the asset.",IG1
CIS,1,3,Devices,Detect,Utilize an Active Discovery Tool,"Utilize an active discovery tool to identify assets connected to the enterprise's network. Configure the active discovery tool to execute daily, or more frequently.",IG2
CIS,1,4,Devices,Identify,Use Dynamic Host Configuration Protocol (DHCP) Logging to Update Enterprise Asset Inventory,"Use DHCP logging on all DHCP servers or Internet Protocol (IP) address management tools to update the enterprise's asset inventory. Review and use logs to update the enterprise's asset inventory weekly, or more frequently.",IG2
CIS,1,5,Devices,Detect,Use a Passive Asset Discovery Tool,"Use a passive discovery tool to identify assets connected to the enterprise's network. Review and use scans to update the enterprise's asset inventory at least weekly, or more frequently.",IG3
CIS,2,1,Software,Identify,Establish and Maintain a Software Inventory,"Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, and decommission date. Review and update the software inventory bi-annually, or more frequently.",IG1
CIS,2,2,Software,Identify,Ensure Authorized Software is Currently Supported ,"Ensure that only currently supported software is designated as authorized in the software inventory for enterprise assets. If software is unsupported, yet necessary for the fulfillment of the enterprise's mission, document an exception detailing mitigating controls and residual risk acceptance. For any unsupported software without an exception documentation, designate as unauthorized. Review the software list to verify software support at least monthly, or more frequently.",IG1
CIS,2,3,Software,Respond,Address Unauthorized Software,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently.",IG1
CIS,2,4,Software,Detect,Utilize Automated Software Inventory Tools,"Utilize software inventory tools, when possible, throughout the enterprise to automate the discovery and documentation of installed software. ",IG2
CIS,2,5,Software,Protect,Allowlist Authorized Software,"Use technical controls, such as application allowlisting, to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently.",IG2
CIS,2,6,Software,Protect,Allowlist Authorized Libraries," Use technical controls to ensure that only authorized software libraries, such as specific .dll, .ocx,  and .so files, are allowed to load into a system process. Block unauthorized libraries from loading into a system process. Reassess bi-annually, or more frequently.",IG2
CIS,2,7,Software,Protect,Allowlist Authorized Scripts,"Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, and .py files are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently.",IG3
CIS,3,1,Data,Govern,Establish and Maintain a Data Management Process,"Establish and maintain a documented data management process. In the process, address data sensitivity, data owner, handling of data, data retention limits, and disposal requirements, based on sensitivity and retention standards for the enterprise. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",IG1
CIS,3,2,Data,Identify,Establish and Maintain a Data Inventory,"Establish and maintain a data inventory based on the enterprise's data management process. Inventory sensitive data annually, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data.",IG1
CIS,3,3,Data,Protect,Configure Data Access Control Lists,"Configure data access control lists based on a user's need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",IG1
CIS,3,4,Data,Protect,Enforce Data Retention,Retain data according to the enterprise's documented data management process. Data retention must include both minimum and maximum timelines.,IG1
